epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,250.198,1.55408,3.36428,3.35587,0.01303,3.71532,0.23796,0.22955,0.14796,0.05687,0.21014,0.19408,0.10343,0.03235,1.95568,3.51601,3.06438,0.0277,0,0.000332338,0.000332338,0.000332338
2,462.451,1.6947,3.30859,2.60024,0.01505,1.67626,0.34128,0.29245,0.26177,0.11781,0.30812,0.2474,0.18909,0.07252,1.79536,3.39014,2.53766,0.02363,0,0.000624483,0.000624483,0.000624483
3,672.485,1.70852,3.27516,2.50545,0.01527,1.60339,0.35491,0.29711,0.22574,0.09918,0.34657,0.26254,0.17076,0.06022,1.8785,3.38444,2.77799,0.02564,0,0.000875378,0.000875378,0.000875378
4,885.374,1.7007,3.26302,2.46119,0.01498,1.55436,0.40613,0.34208,0.30905,0.14703,0.35792,0.30038,0.24247,0.08988,1.81489,3.33981,2.48052,0.02449,0,0.000814375,0.000814375,0.000814375
5,1102.24,1.6586,3.19014,2.3825,0.01455,1.51962,0.34797,0.32944,0.27944,0.13947,0.31047,0.2874,0.22477,0.0878,1.74698,3.29255,2.44044,0.02369,0,0.0007525,0.0007525,0.0007525
6,1321.26,1.62329,3.1313,2.30364,0.01414,1.46235,0.35723,0.36423,0.30791,0.15204,0.32588,0.30392,0.23855,0.09074,1.72298,3.15356,2.34142,0.02246,0,0.000690625,0.000690625,0.000690625
7,1554.75,1.70808,3.16568,2.36778,0.0201,0.92783,0.39173,0.35986,0.30959,0.15673,0.34231,0.30717,0.23857,0.09141,1.68996,3.16924,2.3237,0.02168,0,0.00062875,0.00062875,0.00062875
8,1780,1.66741,3.10451,2.27191,0.01913,0.89891,0.43996,0.37516,0.34268,0.17977,0.39051,0.32883,0.2738,0.11007,1.67864,3.16059,2.28329,0.0214,0,0.000566875,0.000566875,0.000566875
9,2010.62,1.62396,3.03077,2.17463,0.0183,0.86411,0.43758,0.37491,0.36453,0.19923,0.39401,0.32737,0.30323,0.12187,1.62331,3.02675,2.10598,0.01989,0,0.000505,0.000505,0.000505
10,2233.04,1.57446,2.96603,2.11315,0.01746,0.83231,0.4834,0.39735,0.38901,0.21159,0.43495,0.34279,0.31534,0.12606,1.62146,3.03383,2.09873,0.02011,0,0.000443125,0.000443125,0.000443125
11,2462.03,1.53177,2.91197,2.0444,0.01674,0.8132,0.45238,0.40892,0.3965,0.23486,0.40685,0.36333,0.32826,0.14021,1.51456,2.96776,2.07663,0.01847,0,0.00038125,0.00038125,0.00038125
12,2685.77,1.50672,2.86148,1.96167,0.01624,0.7852,0.4199,0.41628,0.3877,0.22751,0.37653,0.36785,0.31424,0.131,1.51073,2.92658,2.00288,0.01817,0,0.000319375,0.000319375,0.000319375
13,2910.89,1.45761,2.8054,1.89782,0.01554,0.76074,0.49016,0.40504,0.41242,0.24254,0.45261,0.35886,0.33717,0.14506,1.48947,2.93515,1.96632,0.01772,0,0.0002575,0.0002575,0.0002575
14,3135.93,1.42674,2.73786,1.83846,0.01515,0.73679,0.47079,0.43281,0.42291,0.25575,0.43813,0.38303,0.34418,0.14687,1.46089,2.86925,1.9062,0.01726,0,0.000195625,0.000195625,0.000195625
15,3361.15,1.39093,2.68012,1.77444,0.0146,0.71551,0.51729,0.4391,0.43778,0.26122,0.46835,0.38879,0.3584,0.1533,1.45419,2.8565,1.89293,0.01704,0,0.00013375,0.00013375,0.00013375
16,3583.43,1.37183,2.65549,1.73281,0.01414,0.69038,0.50517,0.43886,0.441,0.26598,0.44858,0.38643,0.36065,0.15361,1.43465,2.83357,1.86864,0.01669,0,7.1875e-05,7.1875e-05,7.1875e-05
